location,postings,companies,avg_salary_lpa
Hybrid - Mumbai,1,1,15.5
Lucknow(Gomti Nagar),1,1,4.0
"Srinagar, Mumbai (All Areas)",1,1,5.5
"Noida, Mumbai",1,1,3.5
"Hybrid - Hyderabad, Bengaluru",1,1,6.0
Noida(Sector 153),1,1,3.0
Chitradurga,1,1,20.0
"Guntur, Chennai, Coimbatore",1,1,3.0
Jaipur(Jhotwara),1,1,7.8
"Thane, Navi Mumbai",1,1,3.38
Chennai(Nungambakkam),1,1,6.25
Pune(Hinjewadi Phase 2),1,1,37.5
"Pune, Ahmednagar",1,1,25.0
"Kochi, Chennai, Bengaluru",1,1,32.5
Hybrid - Pune(Aundh),1,1,18.75
"Hyderabad, Gurugram, Bengaluru",1,1,27.5
Chennai(Perungudi),1,1,9.5
Chennai(Tharamani),1,1,13.0
Mohali(Phase-8 Industrial Area),1,1,6.5
Bengaluru(Halasuru),1,1,7.5
"Chandigarh, Pune",1,1,18.25
Sankrail,1,1,5.5
"Thane, Bhiwandi, Navi Mumbai",1,1,3.25
"Pune, Bengaluru, Delhi / Ncr",1,1,45.0
"Hyderabad, Pune, Delhi / Ncr",1,1,20.0
Rewari,1,1,1.5
Tiruchirapalli(Tiruchirappalli),1,1,3.38
Kota(Kunhari),1,1,3.0
"Mohali, Pune",1,1,22.5
Lucknow,1,1,8.0
"Coimbatore, Bengaluru",1,1,4.0
Noida(Sector 63),1,1,5.13
Hyderabad(Ameerpet),1,1,2.94
Hyderabad(Hitec City),1,1,20.0
"Ranchi, Jharkhand",1,1,
"Trivandrum, Thiruvananthapuram",1,1,
Hyderabad(Koti +1),1,1,3.38
"Coimbatore, Tamil Nadu",1,1,
Thrissur,1,1,3.75
Surat(Kosamba),1,1,3.5
"Ahmedabad, Mumbai (All Areas)",1,1,14.0
Hyderabad(Shaikpet),1,1,3.13
"Hyderabad, Pune, Greater Noida",1,1,20.0
"Nashik, Navi Mumbai",1,1,7.0
"Hyderabad, Delhi / Ncr",1,1,20.5
"Noida, Kolkata, Delhi / Ncr",1,1,14.0
Bengaluru(Jalahalli +3),1,1,12.0
"Hybrid - Noida, New Delhi, Gurugram",1,1,15.0
Baramati,1,1,20.0
"Gurugram, Chennai",1,1,6.5
"Navi Mumbai, Maharashtra",1,1,
"Chandigarh, India",1,1,
Hybrid - Pune(Aundh +5),1,1,5.0
Ghaziabad,1,1,3.38
"Hybrid - Kochi, Chennai, Coimbatore",1,1,20.0
"Hybrid - Chennai, Bengaluru",1,1,20.0
Hybrid - Shirur,1,1,14.0
"Hybrid - Mumbai(Airoli +2), Navi Mumbai, Mumbai (All Areas)",1,1,10.0
"Noida, Chandigarh",1,1,27.5
Chennai(West Mambalam),1,1,2.75
"Kolkata, Nagpur, Pune, Gurugram, Chennai, Bengaluru, Delhi / Ncr, Mumbai (All Areas)",1,1,15.0
Mohali(Sector 66),1,1,11.1
"Hybrid - Hyderabad, Ahmedabad",1,1,22.5
Hybrid - Mancherial,1,1,15.0
Noida(Sector 137),1,1,5.25
Hybrid - Kamareddy,1,1,15.0
"Hyderabad, Pune, Gurugram",1,1,37.5
Pune(Pimple Saudagar),1,1,11.0
"Hybrid - Mumbai, Thane, Mumbai (All Areas)",1,1,9.5
"Ahmedabad, Chennai, Bengaluru",1,1,10.5
Gurugram(Sector 59),1,1,20.0
"Bhubaneswar, Kolkata, Mysuru",1,1,7.0
Hybrid - Kothagudem,1,1,15.0
